model_id,reference_date,horizon,target_end_date,location,target,output_type,output_type_id,value
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.01,16566.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.025,18886.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.05,21361.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.1,22077.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.15,23164.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.2,23397.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.25,23534.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.3,23635.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.35,23728.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.4,23808.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.45,23884.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.5,23951.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.55,24018.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.6,24093.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.65,24173.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.7,24265.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.75,24369.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.8,24510.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.85,24744.0
Flusight-baseline,2022-12-17,1,2022-12-24,US,wk inc flu hosp,quantile,0.9,25816.0
